- Fabián Voisin | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Navarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Milovan Domínguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Benjamín Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Denylson Arriagada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Tenorio | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Riquelme | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Alejandro Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Benjamín Rodríguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Kevyn Espinosa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Jélvez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camilo Pastene | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dery Varela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Cristóbal Cornejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Moraga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Vásquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Juan Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Rocha | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Bravo (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamorano Domínguez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Lezana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Marcelo Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Marco Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Felipe Ulloa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Jovan Vega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Sebastián Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Martín Aguilera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Adolfo Abarca | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Sebastián Barros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Valdés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Juan Zuñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Erick Naranjo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Matías Ferrari | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Carreño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Eduardo Palma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Carlos Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
