- Carla Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carla Márquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Valderas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso López (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maira Pereira Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Alfaro (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lía Cofré Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juliana Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Ormeño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Retamales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Romo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lian Vergara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cofre (2007) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Mauro Quiroga Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Reynero Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yashir Islame Pinto​ Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Gabriel Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Matías Cavalleri Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Felipe Ferreyra Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Neri Bandiera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Rivera (Sub-20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Vallejos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Vargas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cavalleri Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Sebastián Jaime Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Quiroga (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Vera (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Castro (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Oyarzo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ortiz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rony Albornoz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Benegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín González Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Bustamante Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 46. Fabio Cabral (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Fernando Coniglio (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Paul Pineda Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Aliaga Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vanessa Riquelme Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Danae Baeza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Elizabeth Gallardo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Escalona Leyton Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Coelho (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Holgado (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Barrios Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tobías Figueroa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Vergara Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Zavala Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Iglesias Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Millaray Moya Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Noelia Valdés Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Letelier Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Acevedo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- David Escalante (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Parada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Harbottle Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nildo Viera (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Retamal (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Saldivia (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Mandujano Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Quinteros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francis Pérez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fernández (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Avendaño (2009) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Eugenio Isnaldo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Inostroza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Lopes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Riveros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Jaime Vera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Dalcio Giovagnoli Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hugo Vilches Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Larcamón (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Nicolás Larcamon (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Javier Bergés (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Damián Muñoz Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Martín Palermo (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Patricio Silva Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Ribera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Solis Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Riffo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Bozán Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Almandoz (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Miguel Ormazábal Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mauricio Benavente Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Emiliano Astorga Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
