- Valeria Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Arancibia (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Emilia Ortega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Alvarado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Max Gatica Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Rodríguez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maite Avello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Edgardo Carreño (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Faúndez (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yocelyn Cisternas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lautaro Rigazzi Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Santelices Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Delgado (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Guajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Douglas Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Sandoval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Juanita Peña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Francisca Mardones Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Emilia Pastrián Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
