- Benjamín Jiménez Quiroz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Román | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dillann Ibáñez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Hadweh | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Christian Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Acevedo Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Germán Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Pérez Argomedo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Becerra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Dos Santos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brian López Pérez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gerardo Vidal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejo Araneda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Micaias Luna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Cordero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Miranda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
