- Yocelyn Cisternas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tais Morgenstein Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Johanna Villagra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Valentina Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Génesis Yáñez Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Osses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ian Garguez (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Julieta Zepeda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Santos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Gutiérrez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Alfaro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Martín (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alexia Gallardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Agurto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rania Sansur Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Panguilef (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Fuentes (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Pino (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Garcia (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mateo Cienfuegos (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Cofré Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Roco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gaspar Ruz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Pinto (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jorge Marcelo Rodriguez (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Michael Sandoval Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Santiago Lizana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Luis Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Joaquín Romo (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Nicolás Zedán (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Diego Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Fernández (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rosende Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Manzano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicol Sanhueza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gina Bravo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Jorquera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Oyarzún Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ivette Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Yarella Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
