- Bastián Benavides Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Maidana (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Boris Sagredo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Orrego Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Bairon Monroy (Sub 20) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Melivilú Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Isla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Kevin Orrián Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Williams Villegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Godoy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Lopes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aravena Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Celis Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Benavides Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Millán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Federico Millacet (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Navarro (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Baeza Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bairon Monroy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Pereyra (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Pavez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Rafael Viotti (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Zederick Vega (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Claudio Palominos (Sub 21) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Raniery Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Evelyn Carlos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Molina Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Jhoagny Contreras (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentín Coria Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Mesías Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Valenzuela Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Leiva Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
