- DT. Salvador Cortes Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Eduardo Lobos Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Musrri Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gabriel Rodríguez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Sebastián Núñez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Lecaros Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Carvajal Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Marzuca Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Véliz Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Christian Lovrincevich (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fernando Gutiérrez Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Frank Carilao Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Zederick Vega (2000) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Isaías Peralta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. David Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Juan Pablo Tobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Iván González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Fabian Barbosa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Narciso Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Carrasco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Álvarez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Mauricio Reyes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Cornejo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Nicolás Pizarro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Bruno Martini | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Jairo Guzmán (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Axel Machuca (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Bryan Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Freddy Ferragut | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Gabriel Williams | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Guzmán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Matías Canales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Matías García | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Frances Sepúlveda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Brayan Romero (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Javier Donoso (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Claudio Latorre | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Eduardo Leal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Alonso Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Francisco Castillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Ángel Rojas Martínez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Camilo Trejos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Joaquín Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Lagües | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Matías Gutiérrez Ortega | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Miguel Aceval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Valencia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luciano Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Leiva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Pinilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Julián Bernal (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ormeño | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Pablo González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Mesías | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Nicolás Millar (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Cristhian Cárdenas (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Thomas Montenegro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Eriksson Mikacic Montenegro (Sub 20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Huerta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Elián Olivares | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Daniel Benavides | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Isidro Pastén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Guzmán Cea | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Cristián Abreu (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Orellana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Sepúlveda (2008) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Humberto Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Michael Cerda | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Antonio Villagrán (Sub 21) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Matías Farías (Sub-20) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Marco Muñoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Washington Torres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
