- Enric Saborit (ESP) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Salvador Sánchez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Espinoza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Palma (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Nicolás Araya (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Concha Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Jonathan Rebolledo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Diego Fabián Torres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Carvajal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Luis Gonzalo Bustamante Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Johan Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Corral Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Miño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Braulio Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Gaínza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Rodrigo Castro (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Arturo Guerrero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Alexis Aburto (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lesly Olivares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yeimy Lazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Manuel Iturra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Juan Ignacio Maldonado (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Facundo Guichón (URU) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Geraldine Salazar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Caroca Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Orellana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Zúñiga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Ricardo Blanco (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Fabián Ramos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Silva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Gustavo Lorenzetti Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
