- Vicente Yáñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Rojas Méndez (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Arias (2001) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Castillo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Salvador Negrete (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Sabella (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Clemente Leiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Mancilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Jaime Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Droguett Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Jaime Grondona Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Aguilar Ovalle Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. David Villegas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Nicolás Servetto (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián López Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Aguilar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Gauna (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Nicolás Servetto (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Bahamonde Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Richard Barroilhet Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Valenzuela Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
