- Laura Marcela Ramírez (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Hinojosa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Williams Alfaro (Sub 21) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Dominic Luna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Morales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabio Vázquez (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Alsina (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alessandra Brito (BRA) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Abraham Bugueño (2006) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Manríquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leydy Reyes (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yanka Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Barraza (2005) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Bravo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Manzano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Báez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Jara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Cáceres Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juliana Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Ríos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Celeste Yerio Oyarzún (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Fuentealba Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Karol Herrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Villalobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Romero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Apaz (2008) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Rozas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Campillay Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Michel Calabacero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Castro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Leyton Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Flavio Ciampichetti (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Juan Muriel Orlando Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Luis Marcelo Salas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Contreras (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Duma Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Chriss Gutiérrez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Tobías Figueroa (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Balboa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Bandez (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Melany Letelier Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Thyare Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Nicol Fabres Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francheska Carvajal Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Fydriszewski Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Muñoz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gary Tello Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Guerra (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Sanmiguel Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maykol Sánchez (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristofer Salas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Angelica Pizarro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Priscila Hidalgo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel López (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Hurtado (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Gabriel Torres (PAN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yenifer Villarroel Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Mora Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Riveros Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ubilla Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Campos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Scarleth Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Álvarez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Espinoza (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Harding (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Díaz (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Quiroga (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franko Siegler (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Boris González (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Oyarzún (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Pizarro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
