- Juan Pablo Reyes (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Vegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabiana Yantén (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Martins (BRA) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Arias Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Rojas (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Durán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Moya (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Olguin Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matias Orellana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Campos (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Pérez (2007) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Méndez (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Sosa (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Fernández Cordero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Carvallo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Carlos Carmona Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Jorge Valdivia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- César Pinares Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Valdés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Baeza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlo Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Provoste Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Berríos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Misael Llantén Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Williams Alarcón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Luciano Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Pávez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Aguilera Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Pizarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bryan Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ethan Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rachel Padrón Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Yessenia López Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Kissy Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Iván Rossi (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Zavka Alfaro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joan Cruz (2003) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Valencia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Matías Fernández Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Danilo Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Justine Cuadra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
